lights_1,lights_2,lights_3,lights_4,lights_5,lights_6,lights_7,speed,time
0,0,1,1,1,1,1,0.0,2023-12-24 08:02:35 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:02:40 UTC
1,1,1,1,1,0,0,61.79,2023-12-24 08:02:45 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:02:50 UTC
1,1,1,1,0,0,0,54.05,2023-12-24 08:02:55 UTC
1,1,1,1,1,1,0,70.04,2023-12-24 08:03:00 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:03:05 UTC
1,1,1,1,0,0,0,32.23,2023-12-24 08:03:10 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:03:15 UTC
1,1,1,1,1,1,1,34.51,2023-12-24 08:03:20 UTC
1,1,1,1,1,1,0,70.45,2023-12-24 08:03:25 UTC
1,1,1,1,1,1,1,47.64,2023-12-24 08:03:30 UTC
1,1,1,1,1,1,0,80.99,2023-12-24 08:03:35 UTC
1,1,1,1,1,1,1,66.13,2023-12-24 08:03:40 UTC
1,1,1,1,1,1,1,43.38,2023-12-24 08:03:45 UTC
1,1,1,1,1,1,0,41.11,2023-12-24 08:03:50 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:03:55 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:04:00 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:04:05 UTC
1,1,1,1,0,0,0,51.36,2023-12-24 08:04:10 UTC
1,1,1,1,1,1,0,35.23,2023-12-24 08:04:15 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:04:20 UTC
1,1,1,1,1,1,1,35.92,2023-12-24 08:04:25 UTC
1,1,1,1,1,1,1,101.94,2023-12-24 08:04:30 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:04:35 UTC
1,1,1,1,0,0,0,34.35,2023-12-24 08:04:40 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:04:45 UTC
1,1,1,1,1,1,1,42.71,2023-12-24 08:04:50 UTC
1,1,1,1,1,1,0,47.37,2023-12-24 08:04:55 UTC
1,1,1,1,1,1,1,107.77,2023-12-24 08:05:00 UTC
1,1,1,1,1,1,1,33.18,2023-12-24 08:05:05 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:05:10 UTC
1,1,1,1,1,1,1,48.28,2023-12-24 08:05:15 UTC
1,1,1,1,1,1,0,76.79,2023-12-24 08:05:20 UTC
1,1,1,1,1,1,1,38.76,2023-12-24 08:05:25 UTC
1,1,1,1,1,1,1,118.54,2023-12-24 08:05:30 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:05:35 UTC
1,1,1,1,1,0,0,70.98,2023-12-24 08:05:40 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:05:45 UTC
1,1,1,1,0,0,0,51.52,2023-12-24 08:05:50 UTC
1,1,1,1,1,1,0,61.2,2023-12-24 08:05:55 UTC
1,1,1,1,1,1,1,99.34,2023-12-24 08:06:00 UTC
1,1,1,1,1,0,0,83.85,2023-12-24 08:06:05 UTC
1,1,1,1,1,1,1,49.78,2023-12-24 08:06:10 UTC
1,1,1,1,1,1,0,51.84,2023-12-24 08:06:15 UTC
1,1,1,1,1,1,1,37.52,2023-12-24 08:06:20 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:06:25 UTC
1,1,1,1,1,1,1,53.22,2023-12-24 08:06:30 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:06:35 UTC
1,1,1,1,1,1,1,51.12,2023-12-24 08:06:40 UTC
1,1,1,1,1,1,0,39.03,2023-12-24 08:06:45 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:06:50 UTC
1,1,1,1,1,1,1,83.02,2023-12-24 08:06:55 UTC
1,1,1,1,1,1,1,73.63,2023-12-24 08:07:00 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:07:05 UTC
1,1,1,1,0,0,0,42.67,2023-12-24 08:07:10 UTC
1,1,1,1,1,1,0,86.13,2023-12-24 08:07:15 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:07:20 UTC
1,1,1,1,1,0,0,71.69,2023-12-24 08:07:25 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:07:30 UTC
1,1,1,1,0,0,0,33.6,2023-12-24 08:07:35 UTC
1,1,1,1,1,1,0,77.02,2023-12-24 08:07:40 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:07:45 UTC
1,1,1,1,1,0,0,81.96,2023-12-24 08:07:50 UTC
1,1,1,1,1,1,1,60.38,2023-12-24 08:07:55 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:08:00 UTC
1,1,1,1,0,0,0,44.57,2023-12-24 08:08:05 UTC
1,1,1,1,1,1,0,44.87,2023-12-24 08:08:10 UTC
1,1,1,1,1,1,1,43.5,2023-12-24 08:08:15 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:08:20 UTC
1,1,1,1,1,1,1,77.19,2023-12-24 08:08:25 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:08:30 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:08:35 UTC
1,1,1,1,1,1,1,93.34,2023-12-24 08:08:40 UTC
1,1,1,1,0,0,0,55.86,2023-12-24 08:08:45 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:08:50 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:08:55 UTC
1,1,1,1,1,0,0,74.61,2023-12-24 08:09:00 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:09:05 UTC
1,1,1,1,1,1,1,99.0,2023-12-24 08:09:10 UTC
1,1,1,1,0,0,0,41.28,2023-12-24 08:09:15 UTC
1,1,1,1,1,1,0,33.37,2023-12-24 08:09:20 UTC
1,1,1,1,1,1,1,47.34,2023-12-24 08:09:25 UTC
1,1,1,1,1,1,1,59.44,2023-12-24 08:09:30 UTC
1,1,1,1,1,1,1,107.92,2023-12-24 08:09:35 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:09:40 UTC
1,1,1,1,0,0,0,55.67,2023-12-24 08:09:45 UTC
1,1,1,1,1,1,0,53.54,2023-12-24 08:09:50 UTC
1,1,1,1,1,1,1,70.79,2023-12-24 08:09:55 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:10:00 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:10:05 UTC
1,1,1,1,0,0,0,30.98,2023-12-24 08:10:10 UTC
1,1,1,1,1,1,0,77.71,2023-12-24 08:10:15 UTC
1,1,1,1,1,1,1,80.49,2023-12-24 08:10:20 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:10:25 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:10:30 UTC
1,1,1,1,0,0,0,54.18,2023-12-24 08:10:35 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:10:40 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:10:45 UTC
1,1,1,1,1,0,0,70.83,2023-12-24 08:10:50 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:10:55 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:11:00 UTC
1,1,1,1,0,0,0,57.1,2023-12-24 08:11:10 UTC
1,1,1,1,1,1,0,48.21,2023-12-24 08:11:15 UTC
1,1,1,1,1,1,1,118.38,2023-12-24 08:11:20 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:11:25 UTC
1,1,1,1,1,0,0,65.81,2023-12-24 08:11:30 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:11:35 UTC
1,1,1,1,0,0,0,47.18,2023-12-24 08:11:40 UTC
1,1,1,1,1,1,0,53.43,2023-12-24 08:11:45 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:11:50 UTC
1,1,1,1,1,1,1,119.32,2023-12-24 08:11:55 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:12:00 UTC
1,1,1,1,1,1,1,97.7,2023-12-24 08:12:05 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:12:10 UTC
1,1,1,1,1,0,0,70.77,2023-12-24 08:12:15 UTC
1,1,1,1,1,1,1,64.61,2023-12-24 08:12:20 UTC
1,1,1,1,1,1,1,30.43,2023-12-24 08:12:25 UTC
1,1,1,1,1,1,1,109.88,2023-12-24 08:12:30 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:12:35 UTC
1,1,1,1,1,0,0,66.66,2023-12-24 08:12:40 UTC
1,1,1,1,1,1,1,60.35,2023-12-24 08:12:45 UTC
1,1,1,1,1,1,1,71.67,2023-12-24 08:12:50 UTC
1,1,1,1,1,1,1,53.84,2023-12-24 08:12:55 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:13:00 UTC
1,1,1,1,1,1,1,78.03,2023-12-24 08:13:05 UTC
1,1,1,1,1,1,1,86.33,2023-12-24 08:13:10 UTC
1,1,1,1,1,1,1,49.43,2023-12-24 08:13:15 UTC
1,1,1,1,1,1,0,71.69,2023-12-24 08:13:20 UTC
1,1,1,1,1,1,1,94.82,2023-12-24 08:13:25 UTC
1,1,1,1,0,0,0,45.3,2023-12-24 08:13:30 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:13:35 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:13:40 UTC
1,1,1,1,1,0,0,69.47,2023-12-24 08:13:45 UTC
1,1,1,1,1,1,1,65.38,2023-12-24 08:13:50 UTC
1,1,1,1,1,1,1,71.77,2023-12-24 08:13:55 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:14:00 UTC
1,1,1,1,1,0,0,67.74,2023-12-24 08:14:05 UTC
1,1,1,1,1,1,1,48.02,2023-12-24 08:14:10 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:14:15 UTC
1,1,1,1,1,1,1,62.01,2023-12-24 08:14:20 UTC
1,1,1,1,1,1,1,37.87,2023-12-24 08:14:25 UTC
1,1,1,1,1,1,0,72.64,2023-12-24 08:14:30 UTC
1,1,1,1,1,1,1,75.53,2023-12-24 08:14:35 UTC
1,1,1,1,1,1,1,97.13,2023-12-24 08:14:40 UTC
1,1,1,1,0,0,0,59.13,2023-12-24 08:14:45 UTC
1,1,1,1,1,1,0,62.77,2023-12-24 08:14:50 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:14:55 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:15:00 UTC
1,1,1,1,1,1,1,106.95,2023-12-24 08:15:15 UTC
1,1,1,1,1,1,1,91.04,2023-12-24 08:15:20 UTC
1,1,1,1,0,0,0,30.03,2023-12-24 08:15:25 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:15:30 UTC
1,1,1,1,1,1,1,60.7,2023-12-24 08:15:35 UTC
1,1,1,1,1,1,1,43.78,2023-12-24 08:15:40 UTC
1,1,1,1,1,1,0,35.23,2023-12-24 08:15:45 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:15:50 UTC
1,1,1,1,1,1,1,34.15,2023-12-24 08:15:55 UTC
1,1,1,1,1,1,0,44.64,2023-12-24 08:16:00 UTC
1,1,1,1,1,1,1,49.85,2023-12-24 08:16:05 UTC
1,1,1,1,1,1,1,40.5,2023-12-24 08:16:10 UTC
1,1,1,1,1,1,1,65.55,2023-12-24 08:16:15 UTC
1,1,1,1,1,1,1,31.39,2023-12-24 08:16:20 UTC
1,1,1,1,1,1,0,61.38,2023-12-24 08:16:25 UTC
1,1,1,1,1,1,1,48.47,2023-12-24 08:16:30 UTC
1,1,1,1,1,1,0,71.1,2023-12-24 08:16:35 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:16:40 UTC
1,1,1,1,1,1,1,97.03,2023-12-24 08:16:45 UTC
1,1,1,1,1,0,0,63.15,2023-12-24 08:16:50 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:16:55 UTC
1,1,1,1,0,0,0,33.35,2023-12-24 08:17:00 UTC
1,1,1,1,1,1,1,107.33,2023-12-24 08:17:05 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:17:10 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:17:15 UTC
1,1,1,1,1,0,0,61.53,2023-12-24 08:17:20 UTC
1,1,1,1,1,1,1,37.14,2023-12-24 08:17:25 UTC
1,1,1,1,1,1,0,78.73,2023-12-24 08:17:30 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:17:35 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:17:40 UTC
1,1,1,1,1,1,1,101.72,2023-12-24 08:17:45 UTC
1,1,1,1,1,1,1,106.03,2023-12-24 08:17:50 UTC
1,1,1,1,1,0,0,79.07,2023-12-24 08:17:55 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:18:00 UTC
1,1,1,1,0,0,0,40.22,2023-12-24 08:18:05 UTC
1,1,1,1,1,1,0,53.44,2023-12-24 08:18:10 UTC
1,1,1,1,1,1,1,30.39,2023-12-24 08:18:15 UTC
1,1,1,1,1,1,1,47.45,2023-12-24 08:18:20 UTC
1,1,1,1,1,1,1,65.3,2023-12-24 08:18:25 UTC
1,1,1,1,1,1,1,113.12,2023-12-24 08:18:30 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:18:35 UTC
1,1,1,1,0,0,0,38.31,2023-12-24 08:18:40 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:18:45 UTC
1,1,1,1,1,1,1,66.16,2023-12-24 08:18:50 UTC
1,1,1,1,1,1,1,107.9,2023-12-24 08:18:55 UTC
1,1,1,1,1,0,0,75.42,2023-12-24 08:19:00 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:19:05 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:19:10 UTC
1,1,1,1,0,0,0,32.94,2023-12-24 08:19:15 UTC
1,1,1,1,1,1,0,57.99,2023-12-24 08:19:20 UTC
1,1,1,1,1,1,1,46.51,2023-12-24 08:19:25 UTC
1,1,1,1,1,1,1,67.85,2023-12-24 08:19:30 UTC
1,1,1,1,1,1,1,78.72,2023-12-24 08:19:35 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:19:40 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:19:45 UTC
1,1,1,1,0,0,0,35.13,2023-12-24 08:19:55 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:20:00 UTC
1,1,1,1,1,1,1,72.08,2023-12-24 08:20:05 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:20:10 UTC
1,1,1,1,1,0,0,80.38,2023-12-24 08:20:15 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:20:20 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:20:25 UTC
1,1,1,1,0,0,0,36.36,2023-12-24 08:20:45 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:20:50 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:20:55 UTC
1,1,1,1,1,0,0,73.57,2023-12-24 08:21:00 UTC
1,1,1,1,1,1,1,107.32,2023-12-24 08:21:05 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:21:10 UTC
1,1,1,1,0,0,0,53.26,2023-12-24 08:21:25 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:21:30 UTC
1,1,1,1,1,1,1,84.26,2023-12-24 08:21:35 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:21:40 UTC
1,1,1,1,1,1,1,95.19,2023-12-24 08:21:45 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:21:50 UTC
1,1,1,1,1,0,0,66.15,2023-12-24 08:21:55 UTC
1,1,1,1,1,1,1,76.89,2023-12-24 08:22:00 UTC
1,1,1,1,1,1,1,61.67,2023-12-24 08:22:05 UTC
1,1,1,1,1,1,1,45.07,2023-12-24 08:22:10 UTC
1,1,1,1,1,1,0,79.32,2023-12-24 08:22:15 UTC
1,1,1,1,1,1,1,110.69,2023-12-24 08:22:20 UTC
1,1,1,1,0,0,0,34.17,2023-12-24 08:22:25 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:22:30 UTC
1,1,1,1,1,1,1,116.33,2023-12-24 08:22:35 UTC
1,1,1,1,1,0,0,71.95,2023-12-24 08:22:40 UTC
1,1,1,1,1,1,1,118.44,2023-12-24 08:22:45 UTC
1,1,1,1,1,1,1,103.56,2023-12-24 08:22:50 UTC
1,1,1,1,1,0,0,71.71,2023-12-24 08:22:55 UTC
1,1,1,1,1,1,1,38.55,2023-12-24 08:23:00 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:23:05 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:23:10 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:23:15 UTC
1,1,1,1,1,1,1,96.29,2023-12-24 08:23:20 UTC
1,1,1,1,0,0,0,31.65,2023-12-24 08:23:25 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:23:30 UTC
1,1,1,1,1,1,1,45.51,2023-12-24 08:23:35 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:23:40 UTC
1,1,1,1,1,1,1,77.91,2023-12-24 08:23:45 UTC
1,1,1,1,1,1,1,61.03,2023-12-24 08:23:50 UTC
1,1,1,1,1,1,1,71.0,2023-12-24 08:23:55 UTC
1,1,1,1,1,1,1,63.13,2023-12-24 08:24:00 UTC
1,1,1,1,1,1,1,75.68,2023-12-24 08:24:05 UTC
1,1,1,1,1,1,1,33.43,2023-12-24 08:24:10 UTC
1,1,1,1,1,1,0,56.91,2023-12-24 08:24:15 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:24:20 UTC
1,1,1,1,1,1,1,77.39,2023-12-24 08:24:25 UTC
1,1,1,1,1,1,1,114.96,2023-12-24 08:24:30 UTC
1,1,1,1,1,0,0,65.37,2023-12-24 08:24:35 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:24:40 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:24:45 UTC
1,1,1,1,0,0,0,41.02,2023-12-24 08:24:55 UTC
1,1,1,1,1,1,0,58.73,2023-12-24 08:25:00 UTC
1,1,1,1,1,1,1,43.64,2023-12-24 08:25:05 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:25:10 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:25:15 UTC
1,1,1,1,0,0,0,53.65,2023-12-24 08:25:20 UTC
1,1,1,1,1,1,0,73.31,2023-12-24 08:25:25 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:25:30 UTC
1,1,1,1,0,0,0,50.5,2023-12-24 08:25:35 UTC
1,1,1,1,1,1,1,117.21,2023-12-24 08:25:40 UTC
1,1,1,1,1,1,1,80.27,2023-12-24 08:25:45 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:25:50 UTC
1,1,1,1,1,0,0,74.88,2023-12-24 08:25:55 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:26:00 UTC
1,1,1,1,0,0,0,42.84,2023-12-24 08:26:05 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:26:10 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:26:15 UTC
1,1,1,1,0,0,0,57.93,2023-12-24 08:26:20 UTC
1,1,1,1,1,1,0,69.8,2023-12-24 08:26:25 UTC
1,1,1,1,1,1,1,71.88,2023-12-24 08:26:30 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:26:35 UTC
1,1,1,1,1,0,0,61.41,2023-12-24 08:26:40 UTC
1,1,1,1,1,1,1,56.65,2023-12-24 08:26:45 UTC
1,1,1,1,1,1,0,60.7,2023-12-24 08:26:50 UTC
1,1,1,1,1,1,1,31.87,2023-12-24 08:26:55 UTC
1,1,1,1,1,1,0,40.95,2023-12-24 08:27:00 UTC
1,1,1,1,1,1,1,31.3,2023-12-24 08:27:05 UTC
1,1,1,1,1,1,1,96.67,2023-12-24 08:27:10 UTC
1,1,1,1,1,1,1,43.24,2023-12-24 08:27:15 UTC
1,1,1,1,1,1,0,49.17,2023-12-24 08:27:20 UTC
1,1,1,1,1,1,1,62.27,2023-12-24 08:27:25 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:27:30 UTC
1,1,1,1,0,0,0,37.12,2023-12-24 08:27:35 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:27:40 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:27:45 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:27:50 UTC
1,1,1,1,1,0,0,81.9,2023-12-24 08:27:55 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:28:00 UTC
1,1,1,1,1,0,0,80.3,2023-12-24 08:28:05 UTC
1,1,1,1,1,1,1,57.1,2023-12-24 08:28:10 UTC
1,1,1,1,1,1,0,56.12,2023-12-24 08:28:15 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:28:20 UTC
1,1,1,1,1,1,1,48.25,2023-12-24 08:28:25 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:28:30 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:28:35 UTC
1,1,1,1,1,0,0,67.2,2023-12-24 08:28:40 UTC
1,1,1,1,1,1,1,36.63,2023-12-24 08:28:45 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:28:50 UTC
1,1,1,1,1,1,1,48.38,2023-12-24 08:28:55 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:29:00 UTC
1,1,1,1,1,1,1,118.8,2023-12-24 08:29:05 UTC
1,1,1,1,1,0,0,74.75,2023-12-24 08:29:10 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:29:15 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:29:20 UTC
1,1,1,1,1,0,0,63.71,2023-12-24 08:29:25 UTC
1,1,1,1,1,1,1,33.43,2023-12-24 08:29:30 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:29:35 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:29:40 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:29:45 UTC
1,1,1,1,0,0,0,40.53,2023-12-24 08:29:55 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:30:00 UTC
1,1,1,1,1,1,1,52.52,2023-12-24 08:30:05 UTC
1,1,1,1,1,1,1,114.35,2023-12-24 08:30:10 UTC
1,1,1,1,1,1,1,70.22,2023-12-24 08:30:15 UTC
1,1,1,1,1,1,1,57.77,2023-12-24 08:30:20 UTC
1,1,1,1,1,1,1,119.27,2023-12-24 08:30:25 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:30:30 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:30:35 UTC
1,1,1,1,1,0,0,77.48,2023-12-24 08:30:40 UTC
1,1,1,1,1,1,1,74.44,2023-12-24 08:30:45 UTC
1,1,1,1,1,1,1,88.25,2023-12-24 08:30:50 UTC
1,1,1,1,1,1,1,64.32,2023-12-24 08:30:55 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:31:00 UTC
1,1,1,1,1,0,0,71.95,2023-12-24 08:31:05 UTC
1,1,1,1,1,1,1,94.83,2023-12-24 08:31:10 UTC
1,1,1,1,0,0,0,37.51,2023-12-24 08:31:15 UTC
1,1,1,1,1,1,0,33.93,2023-12-24 08:31:20 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:31:25 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:31:30 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:31:35 UTC
1,1,1,1,0,0,0,43.81,2023-12-24 08:32:05 UTC
1,1,1,1,1,1,1,101.51,2023-12-24 08:32:10 UTC
0,0,0,0,1,1,1,0.0,2023-12-24 08:32:15 UTC
1,1,1,1,1,0,0,61.37,2023-12-24 08:32:20 UTC
1,1,1,1,1,1,1,75.55,2023-12-24 08:32:25 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:32:30 UTC
1,1,1,1,0,0,0,36.99,2023-12-24 08:32:35 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:32:40 UTC
1,1,1,1,1,1,1,41.49,2023-12-24 08:32:45 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:32:50 UTC
1,1,1,1,1,1,1,31.38,2023-12-24 08:32:55 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:33:00 UTC
1,1,1,1,1,1,1,101.1,2023-12-24 08:33:05 UTC
1,1,1,1,0,0,0,41.85,2023-12-24 08:33:10 UTC
1,1,1,1,1,1,1,106.66,2023-12-24 08:33:15 UTC
1,1,1,1,1,1,1,56.15,2023-12-24 08:33:20 UTC
1,1,1,1,1,1,0,55.11,2023-12-24 08:33:25 UTC
1,1,1,1,1,1,1,66.03,2023-12-24 08:33:30 UTC
1,1,1,1,1,1,1,102.77,2023-12-24 08:33:35 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 08:33:40 UTC
1,1,1,1,1,0,0,60.48,2023-12-24 08:33:45 UTC
1,1,1,1,1,1,1,46.59,2023-12-24 08:33:50 UTC
1,1,1,1,1,1,0,60.96,2023-12-24 08:33:55 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 08:34:00 UTC
1,1,1,1,1,0,0,77.4,2023-12-24 08:34:05 UTC
1,1,1,1,1,1,1,34.2,2023-12-24 08:34:10 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 08:34:15 UTC
1,1,1,1,1,1,1,94.65,2023-12-24 08:34:20 UTC
